#sdss_objids,ra ,dec,nii/ha,oiii/hb
,,,,
1.23766E+18,1.171825,0.119798,-0.090336,0.6410423
,,,,
1.23768E+18,5.721582,1.265708,-0.4960292,-0.735141
,,,,
1.23766E+18,11.019462,1.031333,0.0159655,0.6024035
,,,,
1.23765E+18,13.302866,-8.802706,-0.1841217,0.0289934
,,,,
1.23765E+18,13.374656,-8.767788,-0.1582368,0.8846287
,,,,
1.23766E+18,13.870178,0.581282,-0.3052086,-0.3435322
,,,,
1.23766E+18,14.087481,-1.176635,-0.0442374,-0.0006562
,,,,
1.23766E+18,14.095168,-1.209748,0.0424627,0.2524435
,,,,
1.23768E+18,14.106606,-1.262474,-0.1614514,-0.0925059
,,,,
1.23766E+18,14.237088,-1.21183,-0.3472503,-0.5697365
,,,,
1.23767E+18,16.877012,14.206061,-0.1148721,0.3803202
,,,,
1.23766E+18,17.463932,0.04618,-0.236861,0.5573238
,,,,
1.23767E+18,17.513188,13.978117,-0.0572869,-0.0096934
,,,,
1.23766E+18,18.157969,0.086316,0.1652659,0.6629704
,,,,
1.23766E+18,18.202533,-0.290186,0.2907279,0.2092436
,,,,
1.23765E+18,24.318654,-8.564771,-0.3400488,0.0737731
,,,,
1.23766E+18,28.284555,1.030749,-0.1237251,-0.0365701
,,,,
1.23768E+18,28.313523,1.039092,0.2464827,0.3966584
,,,,
1.23765E+18,35.960623,-8.397103,-0.188047,0.1100528
,,,,
1.23766E+18,36.843283,0.610814,-0.2766227,-0.0583748
,,,,
1.23766E+18,36.907969,0.506363,-0.2968635,-0.3499259
,,,,
1.23766E+18,37.337297,0.593825,0.2293804,0.1331199
,,,,
1.23766E+18,37.379388,0.589676,0.121975,0.1289763
,,,,
1.23767E+18,37.823537,-7.582218,-0.2244268,0.1030026
,,,,
1.23765E+18,40.471315,-8.206297,0.0280797,0.112793
,,,,
1.23766E+18,45.954639,-1.103732,-0.3023397,0.9679762
,,,,
1.23766E+18,49.179073,41.324907,-0.0312276,-0.2165543
,,,,
1.23766E+18,49.249011,41.356596,0.0429096,-0.1786928
,,,,
1.23766E+18,49.462871,41.450812,-0.0472846,0.0084845
,,,,
1.23766E+18,49.575015,41.675328,-0.2861831,-0.4019987
,,,,
1.23766E+18,50.240836,41.506344,-0.0052746,-0.0540409
,,,,
1.23766E+18,50.241298,41.893855,-0.2321416,-0.1864652
,,,,
1.23766E+18,50.251707,41.562451,-0.2802566,-0.0605508
,,,,
1.23766E+18,50.336818,41.46005,-0.2348294,0.0261371
,,,,
1.23766E+18,50.46454,41.797261,-0.2728191,-0.122934
,,,,
1.23765E+18,54.107627,-6.80986,0.0141027,0.0811761
,,,,
1.23766E+18,114.1302,43.799132,-0.3167605,-0.1038347
,,,,
1.23766E+18,117.0471,18.496173,-0.1463431,-0.0500152
,,,,
1.23767E+18,119.12673,41.03624,0.1010926,0.0597969
,,,,
1.23765E+18,120.84038,39.41584,-0.2587642,0.3361744
,,,,
1.23766E+18,121.12144,23.912266,0.1279228,0.8226826
,,,,
1.23766E+18,121.23152,24.190118,-0.4222367,-0.0121472
,,,,
1.23767E+18,121.6367,15.262222,0.0453495,0.1674391
,,,,
1.23766E+18,126.12095,38.016333,-0.486445,-0.3036007
,,,,
1.23766E+18,126.13889,38.003656,-0.5183133,-0.3721251
,,,,
1.23766E+18,126.18036,29.989878,-0.4300266,0.9712843
,,,,
1.23766E+18,126.23036,29.941365,-0.3302047,-0.6566254
,,,,
1.23766E+18,126.23489,37.889233,-0.3463384,-0.2100112
,,,,
1.23766E+18,127.58177,26.869447,-0.0542471,0.3043104
,,,,
1.23767E+18,128.58804,14.356497,-0.1425713,0.2126292
,,,,
1.23766E+18,129.95383,32.53141,-0.3122539,0.1002916
,,,,
1.23766E+18,130.24226,38.550084,-0.4154658,-0.3558462
,,,,
1.23765E+18,130.40782,54.918507,-0.0715716,0.8104919
,,,,
1.23766E+18,131.21096,43.04681,0.0317884,0.0612546
,,,,
1.23766E+18,131.23597,42.976577,-0.137826,-0.0049738
,,,,
1.23766E+18,135.12932,39.246997,-0.3164334,-0.171724
,,,,
1.23767E+18,135.15356,20.894552,-0.1163554,0.7740299
,,,,
1.23767E+18,135.22118,20.914806,-0.8061776,-0.0006509
,,,,
1.23766E+18,135.49332,60.151709,-0.3808369,0.1497931
,,,,
1.23766E+18,137.87486,45.468319,-0.1397402,0.7062722
,,,,
1.23765E+18,137.93873,52.890539,-0.0963494,0.724588
,,,,
1.23765E+18,138.74869,4.530019,-0.2000922,0.2360293
,,,,
1.23766E+18,139.15225,30.297038,-0.144768,0.4339346
,,,,
1.23766E+18,139.28444,29.371014,-0.1175324,0.5328051
,,,,
1.23766E+18,139.29971,30.449223,0.0057024,0.5561395
,,,,
1.23766E+18,139.59814,30.543191,0.0167346,0.0027736
,,,,
1.23765E+18,139.92978,1.252122,-0.3559791,0.2700801
,,,,
1.23765E+18,139.97995,0.945119,-0.1042358,0.201252
,,,,
1.23765E+18,140.00904,1.038274,-0.1629599,-0.2327834
,,,,
1.23766E+18,140.54896,6.516504,0.0498567,0.8975368
,,,,
1.23766E+18,140.59633,50.774698,-0.7498148,0.0904189
,,,,
1.23766E+18,140.62559,29.857463,-0.2435407,-0.0278707
,,,,
1.23766E+18,141.97012,29.985752,-0.3325723,-0.0639029
,,,,
1.23767E+18,144.97419,15.022868,0.1810281,0.7882872
,,,,
1.23765E+18,145.19237,3.412781,0.1743165,0.136942
,,,,
1.23765E+18,145.19287,3.658386,-0.0888862,0.6487224
,,,,
1.23765E+18,146.14355,4.001557,-0.9590572,0.3145837
,,,,
1.23766E+18,146.35316,9.92671,-0.3933132,-0.3333823
,,,,
1.23766E+18,146.41835,9.797095,-0.3831761,-0.2936759
,,,,
1.23767E+18,148.80789,17.617718,-0.4668934,-0.4794712
,,,,
1.23765E+18,149.30007,-0.424285,-0.1278573,0.1434059
,,,,
1.23767E+18,149.34197,27.216808,-0.1863074,0.0029536
,,,,
1.23765E+18,149.71827,2.856738,0.0005437,0.0138578
,,,,
1.23765E+18,149.92842,2.592101,-0.1011254,0.0722952
,,,,
1.23765E+18,149.93832,2.577588,-0.046025,-0.0237702
,,,,
1.23765E+18,149.94541,2.923599,-0.2890833,-0.3463488
,,,,
1.23765E+18,149.99849,2.769107,0.1119787,-0.4275815
,,,,
1.23765E+18,150.03976,1.615315,-0.0931782,0.1927284
,,,,
1.23765E+18,150.06567,2.929334,-0.0495193,0.2374587
,,,,
1.23765E+18,150.37261,1.609364,-0.1417802,0.4318933
,,,,
1.23765E+18,150.45143,1.561052,0.1087142,0.1701187
,,,,
1.23766E+18,150.65226,32.706758,-0.0558929,0.2024364
,,,,
1.23766E+18,150.77107,33.047261,-0.2928558,-0.0877928
,,,,
1.23766E+18,150.86637,55.698314,-0.1014152,1.0240201
,,,,
1.23766E+18,153.10164,53.34124,-0.1096431,-0.271313
,,,,
1.23766E+18,153.19415,6.267974,-0.21333,-0.0665857
,,,,
1.23767E+18,154.43013,21.849771,-0.068018,0.5575996
,,,,
1.23765E+18,154.45268,-0.030765,-0.4364379,0.1013631
,,,,
1.23766E+18,154.48708,39.091103,-0.3202721,0.5437774
,,,,
1.23765E+18,154.52778,0.099949,0.1486073,0.655723
,,,,
1.23765E+18,156.0855,3.986628,-0.3863034,-0.3668937
,,,,
1.23765E+18,156.0925,0.465427,-0.4045773,-0.6504388
,,,,
1.23766E+18,156.3447,12.539737,-0.2204638,1.0219052
,,,,
1.23766E+18,156.48893,38.87147,-0.0340653,0.5066522
,,,,
1.23766E+18,156.49162,12.685667,0.3647172,0.2382257
,,,,
1.23766E+18,156.58851,12.745945,-0.2689335,-0.1090495
,,,,
1.23767E+18,157.75754,30.861977,-0.0038725,0.1378772
,,,,
1.23766E+18,159.25568,41.829511,-0.2582437,0.2086493
,,,,
1.23766E+18,159.33603,41.871292,-0.4935708,-0.5591664
,,,,
1.23766E+18,159.37422,41.872696,0.1961258,-0.1013341
,,,,
1.23765E+18,159.63095,58.785421,-0.3715006,0.1042823
,,,,
1.23765E+18,159.70786,1.805794,-0.2228682,-0.3649893
,,,,
1.23765E+18,160.14433,-0.909413,0.1261804,0.3489239
,,,,
1.23766E+18,160.18201,39.796488,0.0847079,0.453627
,,,,
1.23767E+18,161.83566,15.25101,0.0168956,-0.0127683
,,,,
1.23767E+18,162.83523,33.960968,-0.3499174,-0.5538996
,,,,
1.23766E+18,162.85703,57.59558,-0.1544148,0.0382238
,,,,
1.23767E+18,163.02331,34.095486,0.0010207,0.6913172
,,,,
1.23766E+18,163.09803,44.146575,-0.1389218,0.0895195
,,,,
1.23766E+18,164.28208,6.914958,-0.0744174,0.5094
,,,,
1.23766E+18,164.31267,57.757458,-0.1293623,-0.1105131
,,,,
1.23765E+18,168.35195,2.464842,-0.1810313,0.4348064
,,,,
1.23766E+18,168.45725,9.586292,-0.0534768,0.4742464
,,,,
1.23767E+18,169.24263,17.813729,0.1561343,0.2649737
,,,,
1.23767E+18,169.26491,17.744716,0.0567278,0.7611102
,,,,
1.23767E+18,172.14122,17.28465,0.0559248,0.0566022
,,,,
1.23766E+18,173.49681,49.062052,-0.0246151,0.0662028
,,,,
1.23766E+18,173.53756,49.254561,-0.2821382,1.054938
,,,,
1.23766E+18,173.69398,48.956115,0.0287473,0.5046909
,,,,
1.23766E+18,173.70542,49.077636,-0.1322511,0.1725723
,,,,
1.23766E+18,173.87236,49.106964,0.2577194,0.5693017
,,,,
1.23766E+18,173.9332,49.037633,-0.0824952,0.1867887
,,,,
1.23766E+18,174.03108,49.07686,-0.1608957,-0.4894831
,,,,
1.23767E+18,174.27055,19.923791,-0.3092776,0.3849005
,,,,
1.23767E+18,174.31487,20.104744,-0.147551,0.1735655
,,,,
1.23767E+18,174.33303,20.167617,-0.3106045,-0.0757187
,,,,
1.23767E+18,175.63314,58.617208,0.0187046,-0.3567376
,,,,
1.23767E+18,175.8975,20.002041,-0.2804115,0.0183322
,,,,
1.23767E+18,175.98511,19.894579,-0.1441034,-0.3145287
,,,,
1.23767E+18,176.02277,19.996102,0.1283779,0.161973
,,,,
1.23767E+18,176.07898,19.844658,0.3437388,0.1273244
,,,,
1.23767E+18,176.37477,19.444691,-0.1712079,-0.5069614
,,,,
1.23765E+18,176.40359,2.802968,-0.4169091,0.1849073
,,,,
1.23765E+18,176.43746,2.690818,0.0027907,1.0734353
,,,,
1.23767E+18,176.49482,19.529025,-0.1049581,-0.4714528
,,,,
1.23767E+18,176.55077,20.391647,0.2445347,0.2612211
,,,,
1.23767E+18,178.90194,23.236492,0.2293751,0.6324596
,,,,
1.23765E+18,180.95501,2.099174,-0.1964496,0.2158369
,,,,
1.23765E+18,181.02495,1.846994,-0.0576016,-0.2500804
,,,,
1.23767E+18,181.18834,31.192476,0.1170384,0.4305513
,,,,
1.23766E+18,181.84069,52.590148,-0.0625991,0.2621538
,,,,
1.23766E+18,182.08302,45.796847,-0.4388416,-0.3251818
,,,,
1.23766E+18,182.17421,43.89121,-0.3370329,-0.0077525
,,,,
1.23766E+18,182.98411,13.437878,-0.0000032,0.2920885
,,,,
1.23766E+18,183.04171,50.472496,-0.2288743,0.368864
,,,,
1.23766E+18,183.17181,36.748977,0.2463741,0.166882
,,,,
1.23765E+18,183.39903,2.810445,0.0688691,-0.0671326
,,,,
1.23766E+18,183.46189,14.152614,-0.1930312,-0.0952521
,,,,
1.23766E+18,184.05854,7.133831,-0.1366777,-0.0252955
,,,,
1.23766E+18,184.09871,52.733311,0.2080983,0.6619489
,,,,
1.23765E+18,184.30644,3.281401,-0.1665173,-0.185423
,,,,
1.23766E+18,184.30795,7.517427,0.0202691,0.047784
,,,,
1.23766E+18,184.44452,3.911284,-0.3338586,-0.2213224
,,,,
1.23766E+18,184.66417,47.107684,-0.6896057,1.0232701
,,,,
1.23767E+18,184.80043,29.908902,0.0140108,0.4505358
,,,,
1.23765E+18,185.0486,5.800547,-0.2887012,-0.0313342
,,,,
1.23766E+18,185.46532,46.261942,0.0289389,0.2226575
,,,,
1.23766E+18,185.77779,10.621257,0.150966,-0.2505189
,,,,
1.23766E+18,185.99109,7.408276,0.0490794,0.289262
,,,,
1.23766E+18,186.27653,7.401673,0.1978793,0.3281471
,,,,
1.23765E+18,186.28565,5.263051,-0.2831566,-0.4802094
,,,,
1.23766E+18,186.4419,12.883607,0.2552921,0.5017092
,,,,
1.23767E+18,186.47311,4.850731,-0.6571445,0.0026833
,,,,
1.23766E+18,186.77815,8.020397,-0.2115545,0.3024907
,,,,
1.23767E+18,186.78693,31.395463,-0.4215779,0.2065502
,,,,
1.23766E+18,187.49774,13.518277,-0.1434995,0.4733621
,,,,
1.23765E+18,187.88081,64.238408,0.128222,-0.0635683
,,,,
1.23767E+18,187.98263,20.059561,-0.4682379,0.0585428
,,,,
1.23766E+18,188.07843,12.236557,-0.2496172,0.3222578
,,,,
1.23766E+18,188.24486,12.45814,-0.3770149,-0.5281925
,,,,
1.23766E+18,188.25883,12.154036,0.054933,0.9368991
,,,,
1.23765E+18,188.42647,2.136935,-0.2449657,-0.1076838
,,,,
1.23765E+18,188.82381,-0.2656,-0.4317823,0.080008
,,,,
1.23766E+18,189.54114,9.49735,-0.0999844,0.4015567
,,,,
1.23767E+18,190.25139,18.553901,-0.0289087,-0.116551
,,,,
1.23767E+18,190.28997,18.503958,-0.1272723,-0.0661198
,,,,
1.23766E+18,190.40094,61.678731,-0.1397686,0.5476645
,,,,
1.23767E+18,190.75831,2.90374,0.2082497,0.513539
,,,,
1.23767E+18,190.93534,16.785519,-0.3631463,0.11138
,,,,
1.23767E+18,191.06345,16.897487,0.0105585,0.427101
,,,,
1.23767E+18,191.59583,0.477751,-0.1886137,0.3092604
,,,,
1.23767E+18,192.06346,17.774016,-0.050243,0.5930198
,,,,
1.23766E+18,192.63264,41.038856,-0.2481377,1.0426804
,,,,
1.23766E+18,192.70895,41.1918,-0.1661054,0.2800351
,,,,
1.23767E+18,193.97461,27.254929,-0.1557785,0.6369063
,,,,
1.23767E+18,194.37497,28.188071,0.0464839,0.5262234
,,,,
1.23767E+18,194.38682,27.610346,0.1733839,0.0758465
,,,,
1.23767E+18,194.3994,27.493236,-0.1920016,-0.1940982
,,,,
1.23767E+18,194.55751,28.182548,-0.0563075,0.0908466
,,,,
1.23767E+18,194.59096,27.967782,-0.1024435,-0.1395107
,,,,
1.23767E+18,194.65533,27.176604,-0.5080408,-0.4303796
,,,,
1.23767E+18,194.70302,27.810429,0.191837,-0.0407234
,,,,
1.23767E+18,194.7831,27.854968,-0.1412315,-0.1659792
,,,,
1.23767E+18,194.83094,31.277786,0.1855478,0.5700409
,,,,
1.23767E+18,194.8329,31.316139,-0.4910957,-0.0925308
,,,,
1.23766E+18,194.85795,59.068215,-0.1610652,0.0222617
,,,,
1.23767E+18,194.89217,27.946841,-0.2222124,-0.2915663
,,,,
1.23767E+18,194.94283,31.457374,-0.0308946,0.2554792
,,,,
1.23767E+18,194.96664,31.351747,-0.4240986,-0.0880616
,,,,
1.23767E+18,195.0747,28.2024,-0.6304476,-0.2388806
,,,,
1.23767E+18,195.17815,27.971266,-0.1207248,-0.3107667
,,,,
1.23767E+18,195.2027,28.090731,-0.2776302,-0.1386448
,,,,
1.23767E+18,195.23357,27.790872,0.1942015,0.4718685
,,,,
1.23767E+18,195.3233,27.809092,0.0585828,0.0979194
,,,,
1.23767E+18,195.40808,27.591197,0.1809114,0.4231486
,,,,
1.23767E+18,195.4899,28.005844,-0.4238003,-0.1671914
,,,,
1.23767E+18,195.50057,27.782728,0.3329232,0.7670057
,,,,
1.23767E+18,195.59025,28.25598,0.1872668,0.7911764
,,,,
1.23765E+18,195.66805,67.477994,0.174116,0.1031671
,,,,
1.23765E+18,195.73564,-2.491735,-0.195145,-0.1765714
,,,,
1.23765E+18,195.75909,-2.456466,-0.1067626,-0.1870362
,,,,
1.23765E+18,195.78102,-2.365318,-0.1683375,-0.1529951
,,,,
1.23765E+18,197.80665,-1.539984,-0.1043084,0.3799813
,,,,
1.23767E+18,197.86805,22.069979,0.6773161,0.1069983
,,,,
1.23765E+18,197.99812,-1.135076,0.1427704,-0.1553584
,,,,
1.23767E+18,200.14753,34.139328,-0.2158362,-0.1671951
,,,,
1.23767E+18,200.93758,31.565758,0.1873431,0.2556624
,,,,
1.23766E+18,200.95188,43.301187,-0.0176254,0.8046821
,,,,
1.23767E+18,201.36618,7.697027,-0.2243958,-0.1243595
,,,,
1.23767E+18,201.57216,7.929453,0.0892293,0.7155281
,,,,
1.23765E+18,201.68112,1.13769,-0.0686206,-0.1491744
,,,,
1.23765E+18,201.73743,1.198505,-0.2545096,-0.0916624
,,,,
1.23765E+18,202.60597,1.494693,-0.2342483,-0.3683647
,,,,
1.23766E+18,202.67712,58.465507,-0.0947051,0.2833294
,,,,
1.23767E+18,203.95103,2.998927,0.07288,0.5029421
,,,,
1.23767E+18,205.15107,30.318034,0.1047119,0.2582513
,,,,
1.23767E+18,205.27492,-0.817395,-0.0205942,0.666758
,,,,
1.23767E+18,206.94115,26.337792,-0.1240904,0.0773566
,,,,
1.23767E+18,207.01872,26.678999,0.0169093,-0.010725
,,,,
1.23767E+18,207.36148,26.461894,0.1508891,0.6341525
,,,,
1.23765E+18,208.65126,5.256814,-0.2583793,0.6501809
,,,,
1.23766E+18,209.60932,37.452412,-0.4544159,-0.0682137
,,,,
1.23767E+18,210.19407,2.79535,0.0602791,0.1247882
,,,,
1.23765E+18,210.25863,2.878466,-0.1369591,-0.2363988
,,,,
1.23766E+18,210.28074,-1.727994,-0.0175535,-0.0162422
,,,,
1.23767E+18,210.67117,-0.190417,-0.2765052,0.6932383
,,,,
1.23766E+18,211.30898,43.439959,-0.0972343,0.3108766
,,,,
1.23767E+18,211.54835,22.316296,0.0628335,-0.2486079
,,,,
1.23767E+18,211.5593,28.394465,0.0107502,0.9445614
,,,,
1.23767E+18,211.63632,22.325446,-0.2542733,0.1181361
,,,,
1.23766E+18,213.13184,43.9267,-0.2160979,0.4197246
,,,,
1.23766E+18,213.2068,-3.122485,-0.0663627,0.7905399
,,,,
1.23766E+18,213.59583,54.706503,0.1155979,0.5499789
,,,,
1.23767E+18,213.7154,-0.293203,-0.2597527,0.2234107
,,,,
1.23767E+18,213.74054,-0.349616,0.021089,-0.0981342
,,,,
1.23766E+18,213.86293,11.606218,0.1392874,0.137737
,,,,
1.23766E+18,214.22063,10.807418,0.0699909,0.3435325
,,,,
1.23767E+18,214.23945,23.211815,-0.2244782,-0.3076013
,,,,
1.23766E+18,216.03113,42.235701,-0.265879,0.004122
,,,,
1.23766E+18,216.47954,-1.471425,0.3261449,0.3732742
,,,,
1.23765E+18,217.78785,-0.830538,-0.2393831,0.2873989
,,,,
1.23765E+18,218.66665,3.638827,0.1848348,0.2564504
,,,,
1.23765E+18,218.71095,3.645163,-0.4112107,0.1535668
,,,,
1.23765E+18,219.86992,2.768737,-0.008984,0.2915369
,,,,
1.23765E+18,220.12253,3.432736,-0.1463896,-0.1321239
,,,,
1.23766E+18,220.28623,35.333008,-0.3806942,0.2221612
,,,,
1.23765E+18,220.51099,-0.735806,-0.4513457,0.3899447
,,,,
1.23765E+18,221.01455,0.000038,-0.4311984,-0.0475531
,,,,
1.23767E+18,221.51497,29.396924,-0.3152119,-0.1769373
,,,,
1.23766E+18,221.80316,40.795826,-0.119408,0.3659302
,,,,
1.23767E+18,222.63564,27.215872,-0.3223207,0.1276887
,,,,
1.23767E+18,223.41596,18.699597,-0.1782977,0.28806
,,,,
1.23767E+18,223.43758,18.568366,0.0051392,-0.0316303
,,,,
1.23766E+18,226.9766,1.13799,-0.1674557,1.1255665
,,,,
1.23766E+18,227.04123,1.166842,-0.5315555,-0.6423773
,,,,
1.23766E+18,228.93694,6.958688,-0.2680949,-0.3142325
,,,,
1.23766E+18,229.22464,6.939476,0.0767232,0.103337
,,,,
1.23766E+18,229.29396,7.209099,-0.2910219,-0.1648351
,,,,
1.23766E+18,230.71995,8.744934,-0.3168638,-0.2129412
,,,,
1.23766E+18,231.71998,36.017008,0.1305902,0.2959034
,,,,
1.23766E+18,231.91453,36.030035,-0.1057112,0.441837
,,,,
1.23765E+18,236.50428,2.310873,-0.3133092,-0.1974883
,,,,
1.23766E+18,239.33043,27.275386,0.0238917,0.4466854
,,,,
1.23766E+18,239.48653,27.130394,-0.1012299,0.4541359
,,,,
1.23766E+18,239.66667,26.977661,0.0783069,-0.0317877
,,,,
1.23766E+18,239.68734,27.136718,-0.4495463,-0.6586185
,,,,
1.23767E+18,244.24436,12.816317,0.2710337,0.3499138
,,,,
1.23767E+18,244.40101,12.484228,-0.2153503,0.2186573
,,,,
1.23766E+18,244.58024,41.133233,-0.1367092,0.1673985
,,,,
1.23767E+18,244.84025,41.08988,-0.0535358,0.0497042
,,,,
1.23766E+18,246.67706,39.145225,-0.8279505,0.2169022
,,,,
1.23766E+18,247.63606,39.384201,-0.1699599,0.6981031
,,,,
1.23766E+18,247.6887,39.195262,-0.3920228,-0.0258684
,,,,
1.23766E+18,247.77882,39.429731,-0.0871549,0.1814547
,,,,
1.23766E+18,247.90798,41.493643,0.1911654,0.3100336
,,,,
1.23766E+18,248.19061,41.380022,0.12716,0.027817
,,,,
1.23765E+18,248.51247,47.273824,0.030522,0.2906459
,,,,
1.23766E+18,249.66778,32.545582,-0.5733308,-0.4537957
,,,,
1.23766E+18,249.71696,32.55852,0.0316424,0.2247946
,,,,
1.23766E+18,255.68033,34.080416,0.2035955,-0.0071764
,,,,
1.23765E+18,257.85401,58.644264,0.0289192,-0.1029247
,,,,
1.23767E+18,257.8665,64.236693,-0.0238267,0.5630348
,,,,
1.23765E+18,258.05515,58.594588,0.1472916,0.896798
,,,,
1.23767E+18,258.09657,64.032519,-0.4860144,-0.3049549
,,,,
1.23765E+18,258.82738,57.658783,0.2597509,0.8903701
,,,,
1.23765E+18,259.73746,57.850637,0.1108231,0.269254
,,,,
1.23765E+18,260.12081,58.797118,-0.1050923,0.3728966
,,,,
1.23766E+18,260.29127,26.58191,-0.141066,0.015035
,,,,
1.23765E+18,260.40648,58.022051,-0.1175266,-0.0973481
,,,,
1.23766E+18,312.74513,-0.937448,-0.0543477,0.0091412
,,,,
1.23765E+18,321.17342,-8.294702,0.0522064,0.4194311
,,,,
1.23766E+18,322.60928,-0.03466,-0.4027359,-0.391173
,,,,
1.23766E+18,322.68752,-0.042704,0.0866874,0.717253
,,,,
1.23767E+18,327.55713,-7.614108,0.0123579,0.009619
,,,,
1.23766E+18,328.98406,-9.344368,-0.2136592,-0.0084235
,,,,
1.23765E+18,329.32014,-7.914027,0.2009632,0.0789461
,,,,
1.23767E+18,329.32996,-8.012767,-0.3210598,0.33323
,,,,
1.23767E+18,329.37261,-7.795741,-0.1396533,-0.0359471
,,,,
1.23766E+18,353.31154,0.019318,0.0390547,0.799298
,,,,
1.23766E+18,356.787,15.431823,-0.0264564,0.4637958
,,,,
1.23765E+18,358.52365,-10.308499,0.0564295,0.0479228
,,,,
1.23765E+18,358.52933,-10.421351,0.1769659,-0.3609547
,,,,
1.23765E+18,358.55703,-10.419044,0.1497165,-0.327428
